admin_id,project_id,nodal_officer_assigned,dept_workload_score,sla_compliance_percentage,bottleneck_score
ADM-TN-0042,LG-TN-0042,R. Sundaram (IAS),8.5,52.0,78.0
ADM-AP-0002,LG-AP-0002,Officer-AP-2,8.0,80.8,24.0
ADM-AR-0003,LG-AR-0003,Officer-AR-3,4.2,81.0,23.8
ADM-AS-0004,LG-AS-0004,Officer-AS-4,7.8,87.1,16.1
ADM-BR-0005,LG-BR-0005,Officer-BR-5,5.8,47.0,66.2
ADM-CG-0006,LG-CG-0006,Officer-CG-6,2.0,33.3,83.4
ADM-GA-0007,LG-GA-0007,Officer-GA-7,5.6,54.2,57.2
ADM-GJ-0008,LG-GJ-0008,Officer-GJ-8,2.5,30.6,86.8
ADM-HR-0009,LG-HR-0009,Officer-HR-9,5.2,64.5,44.4
ADM-HP-0010,LG-HP-0010,Officer-HP-10,5.0,59.8,50.2
ADM-JH-0011,LG-JH-0011,Officer-JH-11,2.6,56.6,54.2
ADM-KA-0012,LG-KA-0012,Officer-KA-12,9.5,70.7,36.6
ADM-KL-0013,LG-KL-0013,Officer-KL-13,6.5,57.4,53.3
ADM-MP-0014,LG-MP-0014,Officer-MP-14,6.1,77.9,27.6
ADM-MH-0015,LG-MH-0015,Officer-MH-15,3.2,40.5,74.4
ADM-MN-0016,LG-MN-0016,Officer-MN-16,8.6,79.2,26.0
ADM-ML-0017,LG-ML-0017,Officer-ML-17,8.4,73.5,33.1
ADM-MZ-0018,LG-MZ-0018,Officer-MZ-18,8.8,51.4,60.7
ADM-NL-0019,LG-NL-0019,Officer-NL-19,3.1,60.6,49.2
ADM-OD-0020,LG-OD-0020,Officer-OD-20,3.2,37.7,77.9
ADM-PB-0021,LG-PB-0021,Officer-PB-21,2.5,78.1,27.3
ADM-RJ-0022,LG-RJ-0022,Officer-RJ-22,6.4,55.5,55.6
ADM-SK-0023,LG-SK-0023,Officer-SK-23,8.3,61.0,48.7
ADM-TN-0024,LG-TN-0024,Officer-TN-24,7.8,69.8,37.8
ADM-TS-0025,LG-TS-0025,Officer-TS-25,8.2,53.6,58.1
ADM-TR-0026,LG-TR-0026,Officer-TR-26,5.7,70.4,37.0
ADM-UP-0027,LG-UP-0027,Officer-UP-27,7.5,69.9,37.7
ADM-UK-0028,LG-UK-0028,Officer-UK-28,5.3,45.8,67.8
ADM-WB-0029,LG-WB-0029,Officer-WB-29,8.5,79.9,25.2
ADM-AN-0030,LG-AN-0030,Officer-AN-30,7.9,91.3,10.8
ADM-CH-0031,LG-CH-0031,Officer-CH-31,6.5,82.6,21.7
ADM-DH-0032,LG-DH-0032,Officer-DH-32,4.4,51.5,60.6
ADM-DL-0033,LG-DL-0033,Officer-DL-33,6.1,67.7,40.3
ADM-JK-0034,LG-JK-0034,Officer-JK-34,5.6,75.4,30.8
ADM-LA-0035,LG-LA-0035,Officer-LA-35,7.7,51.2,61.0
ADM-LD-0036,LG-LD-0036,Officer-LD-36,7.4,34.0,82.6
ADM-PY-0037,LG-PY-0037,Officer-PY-37,5.3,48.2,64.8
ADM-AP-0038,LG-AP-0038,Officer-AP-38,7.0,58.6,51.8
ADM-AR-0039,LG-AR-0039,Officer-AR-39,2.1,84.4,19.5
ADM-AS-0040,LG-AS-0040,Officer-AS-40,4.5,63.1,46.2
ADM-BR-0041,LG-BR-0041,Officer-BR-41,4.8,40.5,74.3
ADM-CG-0042,LG-CG-0042,Officer-CG-42,6.0,41.2,73.5
ADM-GA-0043,LG-GA-0043,Officer-GA-43,7.0,47.3,65.9
ADM-GJ-0044,LG-GJ-0044,Officer-GJ-44,3.3,80.1,24.9
ADM-HR-0045,LG-HR-0045,Officer-HR-45,9.2,54.3,57.2
ADM-HP-0046,LG-HP-0046,Officer-HP-46,8.7,70.1,37.4
ADM-JH-0047,LG-JH-0047,Officer-JH-47,5.1,27.8,90.3
ADM-KA-0048,LG-KA-0048,Officer-KA-48,7.3,52.4,59.5
ADM-KL-0049,LG-KL-0049,Officer-KL-49,2.6,77.6,28.0
ADM-MP-0050,LG-MP-0050,Officer-MP-50,2.1,55.9,55.2
ADM-MH-0051,LG-MH-0051,Officer-MH-51,9.1,79.2,26.0
ADM-MN-0052,LG-MN-0052,Officer-MN-52,3.9,47.8,65.2
ADM-ML-0053,LG-ML-0053,Officer-ML-53,4.6,53.6,58.0
ADM-MZ-0054,LG-MZ-0054,Officer-MZ-54,8.7,63.0,46.3
ADM-NL-0055,LG-NL-0055,Officer-NL-55,6.4,74.7,31.6
ADM-OD-0056,LG-OD-0056,Officer-OD-56,3.7,50.2,62.2
ADM-PB-0057,LG-PB-0057,Officer-PB-57,6.0,84.7,19.1
ADM-RJ-0058,LG-RJ-0058,Officer-RJ-58,4.0,66.4,42.0
ADM-SK-0059,LG-SK-0059,Officer-SK-59,5.5,73.4,33.3
ADM-TN-0060,LG-TN-0060,Officer-TN-60,3.1,35.6,80.5
ADM-TS-0061,LG-TS-0061,Officer-TS-61,2.3,68.5,39.3
ADM-TR-0062,LG-TR-0062,Officer-TR-62,7.9,84.0,20.0
ADM-UP-0063,LG-UP-0063,Officer-UP-63,6.5,74.4,32.0
ADM-UK-0064,LG-UK-0064,Officer-UK-64,3.8,30.4,87.0
ADM-WB-0065,LG-WB-0065,Officer-WB-65,8.9,65.6,42.9
ADM-AN-0066,LG-AN-0066,Officer-AN-66,2.2,63.2,45.9
ADM-CH-0067,LG-CH-0067,Officer-CH-67,4.3,53.9,57.6
ADM-DH-0068,LG-DH-0068,Officer-DH-68,2.3,32.2,84.8
ADM-DL-0069,LG-DL-0069,Officer-DL-69,7.4,74.8,31.5
ADM-JK-0070,LG-JK-0070,Officer-JK-70,4.3,72.8,34.0
ADM-LA-0071,LG-LA-0071,Officer-LA-71,4.2,60.7,49.1
ADM-LD-0072,LG-LD-0072,Officer-LD-72,4.4,50.7,61.7
ADM-PY-0073,LG-PY-0073,Officer-PY-73,5.6,62.2,47.2
ADM-AP-0074,LG-AP-0074,Officer-AP-74,9.2,66.6,41.8
ADM-AR-0075,LG-AR-0075,Officer-AR-75,6.3,60.6,49.3
