approval_id,project_id,approval_type,status,submission_date,approval_date,delay_days
APP-TN-0042,LG-TN-0042,Environmental,PENDING,2023-03-01,,90
APP-AP-0002,LG-AP-0002,Revenue,APPROVED,2024-01-22,2024-01-01,0
APP-AR-0003,LG-AR-0003,Environmental,APPROVED,2024-05-21,2024-01-01,7
APP-AS-0004,LG-AS-0004,Forest,APPROVED,2024-10-04,2024-01-01,10
APP-BR-0005,LG-BR-0005,Revenue,APPROVED,2022-03-12,2024-01-01,7
APP-CG-0006,LG-CG-0006,Wildlife,REJECTED,2024-05-05,2024-01-01,5
APP-GA-0007,LG-GA-0007,Environmental,APPROVED,2023-02-05,2024-01-01,2
APP-GJ-0008,LG-GJ-0008,Environmental,REJECTED,2023-05-17,2024-01-01,7
APP-HR-0009,LG-HR-0009,Environmental,APPROVED,2021-05-26,2024-01-01,13
APP-HP-0010,LG-HP-0010,Environmental,APPROVED,2022-01-25,2024-01-01,7
APP-JH-0011,LG-JH-0011,Forest,APPROVED,2022-08-08,2024-01-01,1
APP-KA-0012,LG-KA-0012,Environmental,APPROVED,2021-06-17,2024-01-01,14
APP-KL-0013,LG-KL-0013,Forest,APPROVED,2021-11-20,2024-01-01,8
APP-MP-0014,LG-MP-0014,Environmental,APPROVED,2021-04-01,2024-01-01,11
APP-MH-0015,LG-MH-0015,Wildlife,REJECTED,2023-04-13,2024-01-01,7
APP-MN-0016,LG-MN-0016,Revenue,APPROVED,2022-04-02,2024-01-01,0
APP-ML-0017,LG-ML-0017,Revenue,APPROVED,2023-11-14,2024-01-01,10
APP-MZ-0018,LG-MZ-0018,Forest,APPROVED,2023-02-16,2024-01-01,15
APP-NL-0019,LG-NL-0019,Wildlife,PENDING,2024-10-09,,81
APP-OD-0020,LG-OD-0020,Wildlife,REJECTED,2022-05-26,2024-01-01,14
APP-PB-0021,LG-PB-0021,Revenue,APPROVED,2022-08-09,2024-01-01,14
APP-RJ-0022,LG-RJ-0022,Forest,APPROVED,2024-01-08,2024-01-01,0
APP-SK-0023,LG-SK-0023,Environmental,APPROVED,2022-11-01,2024-01-01,7
APP-TN-0024,LG-TN-0024,Forest,PENDING,2024-05-25,,43
APP-TS-0025,LG-TS-0025,Wildlife,PENDING,2021-01-26,,89
APP-TR-0026,LG-TR-0026,Forest,PENDING,2023-02-16,,122
APP-UP-0027,LG-UP-0027,Forest,APPROVED,2024-09-21,2024-01-01,6
APP-UK-0028,LG-UK-0028,Revenue,APPROVED,2021-01-29,2024-01-01,15
APP-WB-0029,LG-WB-0029,Wildlife,APPROVED,2021-11-07,2024-01-01,14
APP-AN-0030,LG-AN-0030,Environmental,APPROVED,2022-05-07,2024-01-01,7
APP-CH-0031,LG-CH-0031,Wildlife,APPROVED,2021-05-27,2024-01-01,14
APP-DH-0032,LG-DH-0032,Revenue,APPROVED,2024-10-08,2024-01-01,13
APP-DL-0033,LG-DL-0033,Environmental,APPROVED,2021-06-30,2024-01-01,6
APP-JK-0034,LG-JK-0034,Revenue,APPROVED,2024-02-03,2024-01-01,13
APP-LA-0035,LG-LA-0035,Revenue,APPROVED,2022-07-20,2024-01-01,10
APP-LD-0036,LG-LD-0036,Environmental,REJECTED,2024-12-15,2024-01-01,14
APP-PY-0037,LG-PY-0037,Forest,PENDING,2021-06-14,,125
APP-AP-0038,LG-AP-0038,Revenue,APPROVED,2022-08-24,2024-01-01,14
APP-AR-0039,LG-AR-0039,Environmental,APPROVED,2024-11-14,2024-01-01,12
APP-AS-0040,LG-AS-0040,Environmental,PENDING,2022-03-25,,146
APP-BR-0041,LG-BR-0041,Revenue,APPROVED,2022-11-25,2024-01-01,3
APP-CG-0042,LG-CG-0042,Environmental,PENDING,2022-11-03,,60
APP-GA-0043,LG-GA-0043,Environmental,APPROVED,2021-03-09,2024-01-01,14
APP-GJ-0044,LG-GJ-0044,Forest,APPROVED,2024-02-10,2024-01-01,8
APP-HR-0045,LG-HR-0045,Revenue,PENDING,2021-09-17,,88
APP-HP-0046,LG-HP-0046,Forest,PENDING,2022-10-22,,85
APP-JH-0047,LG-JH-0047,Revenue,PENDING,2024-11-07,,115
APP-KA-0048,LG-KA-0048,Environmental,APPROVED,2021-11-13,2024-01-01,5
APP-KL-0049,LG-KL-0049,Forest,APPROVED,2021-03-04,2024-01-01,1
APP-MP-0050,LG-MP-0050,Revenue,APPROVED,2024-10-20,2024-01-01,10
APP-MH-0051,LG-MH-0051,Revenue,APPROVED,2023-06-13,2024-01-01,5
APP-MN-0052,LG-MN-0052,Forest,APPROVED,2023-03-22,2024-01-01,3
APP-ML-0053,LG-ML-0053,Revenue,PENDING,2023-07-09,,105
APP-MZ-0054,LG-MZ-0054,Wildlife,PENDING,2024-06-13,,43
APP-NL-0055,LG-NL-0055,Forest,APPROVED,2023-01-16,2024-01-01,10
APP-OD-0056,LG-OD-0056,Revenue,APPROVED,2021-09-19,2024-01-01,15
APP-PB-0057,LG-PB-0057,Revenue,APPROVED,2021-11-29,2024-01-01,14
APP-RJ-0058,LG-RJ-0058,Environmental,PENDING,2023-02-22,,127
APP-SK-0059,LG-SK-0059,Environmental,APPROVED,2023-04-30,2024-01-01,9
APP-TN-0060,LG-TN-0060,Environmental,REJECTED,2024-01-29,2024-01-01,7
APP-TS-0061,LG-TS-0061,Environmental,APPROVED,2024-01-20,2024-01-01,10
APP-TR-0062,LG-TR-0062,Revenue,APPROVED,2021-03-17,2024-01-01,11
APP-UP-0063,LG-UP-0063,Revenue,APPROVED,2022-01-18,2024-01-01,9
APP-UK-0064,LG-UK-0064,Environmental,PENDING,2024-08-02,,46
APP-WB-0065,LG-WB-0065,Forest,APPROVED,2021-10-09,2024-01-01,9
APP-AN-0066,LG-AN-0066,Forest,PENDING,2024-09-29,,131
APP-CH-0067,LG-CH-0067,Environmental,PENDING,2023-04-19,,96
APP-DH-0068,LG-DH-0068,Revenue,PENDING,2024-07-24,,137
APP-DL-0069,LG-DL-0069,Forest,PENDING,2024-07-08,,70
APP-JK-0070,LG-JK-0070,Wildlife,PENDING,2022-07-02,,93
APP-LA-0071,LG-LA-0071,Forest,PENDING,2024-10-09,,76
APP-LD-0072,LG-LD-0072,Forest,APPROVED,2023-01-19,2024-01-01,10
APP-PY-0073,LG-PY-0073,Forest,APPROVED,2021-02-04,2024-01-01,1
APP-AP-0074,LG-AP-0074,Wildlife,APPROVED,2021-02-08,2024-01-01,12
APP-AR-0075,LG-AR-0075,Revenue,APPROVED,2024-06-03,2024-01-01,9
APP-AS-0076,LG-AS-0076,Forest,REJECTED,2022-12-11,2024-01-01,7
APP-BR-0077,LG-BR-0077,Forest,REJECTED,2024-02-02,2024-01-01,1
APP-CG-0078,LG-CG-0078,Wildlife,APPROVED,2021-03-18,2024-01-01,8
APP-GA-0079,LG-GA-0079,Revenue,APPROVED,2021-12-26,2024-01-01,12
APP-GJ-0080,LG-GJ-0080,Forest,PENDING,2021-11-24,,88
APP-HR-0081,LG-HR-0081,Environmental,APPROVED,2023-07-04,2024-01-01,6
APP-HP-0082,LG-HP-0082,Environmental,PENDING,2022-09-24,,66
APP-JH-0083,LG-JH-0083,Wildlife,PENDING,2021-06-14,,116
APP-KA-0084,LG-KA-0084,Wildlife,PENDING,2021-03-07,,59
APP-KL-0085,LG-KL-0085,Wildlife,APPROVED,2022-10-19,2024-01-01,1
APP-MP-0086,LG-MP-0086,Wildlife,APPROVED,2022-04-07,2024-01-01,11
APP-MH-0087,LG-MH-0087,Forest,PENDING,2022-03-21,,100
APP-MN-0088,LG-MN-0088,Forest,REJECTED,2022-10-18,2024-01-01,12
APP-ML-0089,LG-ML-0089,Environmental,PENDING,2021-12-11,,127
APP-MZ-0090,LG-MZ-0090,Forest,APPROVED,2023-09-17,2024-01-01,3
APP-NL-0091,LG-NL-0091,Environmental,REJECTED,2022-05-14,2024-01-01,0
APP-OD-0092,LG-OD-0092,Forest,APPROVED,2023-09-01,2024-01-01,12
APP-PB-0093,LG-PB-0093,Wildlife,APPROVED,2023-10-23,2024-01-01,15
APP-RJ-0094,LG-RJ-0094,Environmental,PENDING,2021-11-12,,53
APP-SK-0095,LG-SK-0095,Forest,APPROVED,2021-01-26,2024-01-01,8
APP-TN-0096,LG-TN-0096,Forest,PENDING,2023-10-13,,68
APP-TS-0097,LG-TS-0097,Wildlife,APPROVED,2022-05-12,2024-01-01,9
APP-TR-0098,LG-TR-0098,Environmental,APPROVED,2023-02-12,2024-01-01,3
APP-UP-0099,LG-UP-0099,Forest,APPROVED,2023-06-01,2024-01-01,11
APP-UK-0100,LG-UK-0100,Forest,APPROVED,2023-12-04,2024-01-01,5
APP-WB-0101,LG-WB-0101,Environmental,APPROVED,2022-02-09,2024-01-01,8
APP-AN-0102,LG-AN-0102,Forest,PENDING,2024-12-16,,103
APP-CH-0103,LG-CH-0103,Environmental,REJECTED,2023-01-06,2024-01-01,7
APP-DH-0104,LG-DH-0104,Wildlife,PENDING,2024-01-16,,63
APP-DL-0105,LG-DL-0105,Revenue,APPROVED,2024-07-19,2024-01-01,3
APP-JK-0106,LG-JK-0106,Wildlife,APPROVED,2024-10-16,2024-01-01,15
APP-LA-0107,LG-LA-0107,Environmental,REJECTED,2022-03-23,2024-01-01,3
APP-LD-0108,LG-LD-0108,Wildlife,APPROVED,2024-08-24,2024-01-01,2
APP-PY-0109,LG-PY-0109,Forest,APPROVED,2024-11-22,2024-01-01,2
APP-AP-0110,LG-AP-0110,Revenue,APPROVED,2021-06-27,2024-01-01,0
APP-AR-0111,LG-AR-0111,Environmental,PENDING,2023-10-11,,32
APP-AS-0112,LG-AS-0112,Revenue,APPROVED,2021-06-18,2024-01-01,13
APP-BR-0113,LG-BR-0113,Revenue,APPROVED,2021-09-02,2024-01-01,3
APP-CG-0114,LG-CG-0114,Revenue,APPROVED,2021-04-24,2024-01-01,12
APP-GA-0115,LG-GA-0115,Revenue,APPROVED,2024-03-16,2024-01-01,2
APP-GJ-0116,LG-GJ-0116,Revenue,PENDING,2024-01-25,,43
APP-HR-0117,LG-HR-0117,Forest,PENDING,2023-04-26,,67
APP-HP-0118,LG-HP-0118,Environmental,APPROVED,2021-08-12,2024-01-01,2
APP-JH-0119,LG-JH-0119,Environmental,APPROVED,2023-03-23,2024-01-01,0
