comp_id,project_id,beneficiaries_total,beneficiaries_paid,beneficiaries_pending,amount_sanctioned_cr,amount_disbursed_cr,disbursement_percentage
CMP-TN-0042,LG-TN-0042,450,189,261,350.0,147.0,42.0
CMP-AP-0002,LG-AP-0002,60,54,6,93.12,85.05,91.3
CMP-AR-0003,LG-AR-0003,1444,1236,208,762.48,653.08,85.7
CMP-AS-0004,LG-AS-0004,637,630,7,394.62,390.87,99.0
CMP-BR-0005,LG-BR-0005,345,172,173,670.59,334.56,49.9
CMP-CG-0006,LG-CG-0006,1607,496,1111,462.6,142.82,30.9
CMP-GA-0007,LG-GA-0007,1241,663,578,1600.56,856.05,53.5
CMP-GJ-0008,LG-GJ-0008,1919,822,1097,1112.19,476.77,42.9
CMP-HR-0009,LG-HR-0009,194,136,58,217.95,153.81,70.6
CMP-HP-0010,LG-HP-0010,189,128,61,65.22,44.22,67.8
CMP-JH-0011,LG-JH-0011,1161,976,185,856.29,720.54,84.1
CMP-KA-0012,LG-KA-0012,378,289,89,248.01,190.16,76.7
CMP-KL-0013,LG-KL-0013,229,173,56,163.98,124.4,75.9
CMP-MP-0014,LG-MP-0014,743,717,26,501.42,484.21,96.6
CMP-MH-0015,LG-MH-0015,1101,412,689,728.13,272.93,37.5
CMP-MN-0016,LG-MN-0016,615,540,75,289.89,254.8,87.9
CMP-ML-0017,LG-ML-0017,218,214,4,155.94,153.59,98.5
CMP-MZ-0018,LG-MZ-0018,787,492,295,335.73,210.07,62.6
CMP-NL-0019,LG-NL-0019,1141,925,216,1185.45,961.77,81.1
CMP-OD-0020,LG-OD-0020,600,111,489,361.26,67.34,18.6
CMP-PB-0021,LG-PB-0021,1481,1333,148,890.73,801.99,90.0
CMP-RJ-0022,LG-RJ-0022,1399,750,649,677.4,363.45,53.7
CMP-SK-0023,LG-SK-0023,1007,831,176,1098.12,906.97,82.6
CMP-TN-0024,LG-TN-0024,710,567,143,1232.97,985.86,80.0
CMP-TS-0025,LG-TS-0025,617,373,244,585.24,354.41,60.6
CMP-TR-0026,LG-TR-0026,517,387,130,514.53,385.31,74.9
CMP-UP-0027,LG-UP-0027,764,568,196,1594.86,1187.62,74.5
CMP-UK-0028,LG-UK-0028,2573,1110,1463,1305.39,563.47,43.2
CMP-WB-0029,LG-WB-0029,1363,1273,90,1547.85,1446.35,93.4
