doc_id,project_id,total_records,records_verified,records_pending,title_clearance_percentage
DOC-TN-0042,LG-TN-0042,500,350,150,70.0
DOC-AP-0002,LG-AP-0002,97,85,12,88.4
DOC-AR-0003,LG-AR-0003,1114,1041,73,93.5
DOC-AS-0004,LG-AS-0004,588,563,25,95.8
DOC-BR-0005,LG-BR-0005,421,329,92,78.3
DOC-CG-0006,LG-CG-0006,1446,1069,377,74.0
DOC-GA-0007,LG-GA-0007,1235,933,302,75.6
DOC-GJ-0008,LG-GJ-0008,1520,1009,511,66.4
DOC-HR-0009,LG-HR-0009,203,167,36,82.3
DOC-HP-0010,LG-HP-0010,242,188,54,77.8
DOC-JH-0011,LG-JH-0011,985,885,100,89.9
DOC-KA-0012,LG-KA-0012,351,290,61,82.8
DOC-KL-0013,LG-KL-0013,216,171,45,79.5
DOC-MP-0014,LG-MP-0014,585,559,26,95.6
DOC-MH-0015,LG-MH-0015,930,673,257,72.4
DOC-MN-0016,LG-MN-0016,593,545,48,91.9
DOC-ML-0017,LG-ML-0017,266,240,26,90.3
DOC-MZ-0018,LG-MZ-0018,775,560,215,72.3
DOC-NL-0019,LG-NL-0019,1001,772,229,77.2
DOC-OD-0020,LG-OD-0020,637,284,353,44.7
DOC-PB-0021,LG-PB-0021,1457,1438,19,98.7
DOC-RJ-0022,LG-RJ-0022,1196,861,335,72.1
DOC-SK-0023,LG-SK-0023,859,680,179,79.2
DOC-TN-0024,LG-TN-0024,745,571,174,76.7
DOC-TS-0025,LG-TS-0025,573,355,218,62.1
DOC-TR-0026,LG-TR-0026,567,452,115,79.9
DOC-UP-0027,LG-UP-0027,652,540,112,83.0
DOC-UK-0028,LG-UK-0028,2155,1312,843,60.9
DOC-WB-0029,LG-WB-0029,1044,956,88,91.6
DOC-AN-0030,LG-AN-0030,955,840,115,88.0
DOC-CH-0031,LG-CH-0031,176,167,9,95.1
DOC-DH-0032,LG-DH-0032,379,285,94,75.3
DOC-DL-0033,LG-DL-0033,942,843,99,89.6
DOC-JK-0034,LG-JK-0034,156,141,15,90.7
DOC-LA-0035,LG-LA-0035,482,321,161,66.8
DOC-LD-0036,LG-LD-0036,797,594,203,74.6
DOC-PY-0037,LG-PY-0037,1225,945,280,77.2
DOC-AP-0038,LG-AP-0038,235,184,51,78.7
DOC-AR-0039,LG-AR-0039,340,307,33,90.4
DOC-AS-0040,LG-AS-0040,2398,2042,356,85.2
DOC-BR-0041,LG-BR-0041,1190,731,459,61.5
DOC-CG-0042,LG-CG-0042,163,68,95,42.2
DOC-GA-0043,LG-GA-0043,2089,1439,650,68.9
DOC-GJ-0044,LG-GJ-0044,819,806,13,98.4
DOC-HR-0045,LG-HR-0045,896,671,225,74.9
DOC-HP-0046,LG-HP-0046,1414,1118,296,79.1
DOC-JH-0047,LG-JH-0047,931,643,288,69.1
DOC-KA-0048,LG-KA-0048,1760,1094,666,62.2
DOC-KL-0049,LG-KL-0049,1569,1451,118,92.5
DOC-MP-0050,LG-MP-0050,574,420,154,73.3
DOC-MH-0051,LG-MH-0051,1419,1395,24,98.3
DOC-MN-0052,LG-MN-0052,436,280,156,64.4
DOC-ML-0053,LG-ML-0053,1873,1364,509,72.9
DOC-MZ-0054,LG-MZ-0054,559,467,92,83.7
DOC-NL-0055,LG-NL-0055,448,363,85,81.1
DOC-OD-0056,LG-OD-0056,1471,1099,372,74.8
DOC-PB-0057,LG-PB-0057,1773,1693,80,95.5
DOC-RJ-0058,LG-RJ-0058,1248,966,282,77.4
DOC-SK-0059,LG-SK-0059,1091,990,101,90.8
DOC-TN-0060,LG-TN-0060,1279,701,578,54.8
DOC-TS-0061,LG-TS-0061,466,388,78,83.3
DOC-TR-0062,LG-TR-0062,1435,1297,138,90.4
DOC-UP-0063,LG-UP-0063,697,619,78,88.9
DOC-UK-0064,LG-UK-0064,189,80,109,42.6
DOC-WB-0065,LG-WB-0065,1728,1464,264,84.7
DOC-AN-0066,LG-AN-0066,539,448,91,83.1
DOC-CH-0067,LG-CH-0067,186,147,39,79.4
DOC-DH-0068,LG-DH-0068,1529,946,583,61.9
DOC-DL-0069,LG-DL-0069,1461,1161,300,79.5
DOC-JK-0070,LG-JK-0070,1134,859,275,75.8
DOC-LA-0071,LG-LA-0071,306,268,38,87.7
DOC-LD-0072,LG-LD-0072,169,118,51,70.2
DOC-PY-0073,LG-PY-0073,928,832,96,89.7
DOC-AP-0074,LG-AP-0074,1042,846,196,81.2
DOC-AR-0075,LG-AR-0075,1841,1457,384,79.2
DOC-AS-0076,LG-AS-0076,2046,1353,693,66.2
DOC-BR-0077,LG-BR-0077,793,498,295,62.9
DOC-CG-0078,LG-CG-0078,975,870,105,89.3
DOC-GA-0079,LG-GA-0079,90,72,18,81.1
DOC-GJ-0080,LG-GJ-0080,1155,1021,134,88.4
DOC-HR-0081,LG-HR-0081,1690,1500,190,88.8
DOC-HP-0082,LG-HP-0082,282,215,67,76.3
DOC-JH-0083,LG-JH-0083,1725,1221,504,70.8
DOC-KA-0084,LG-KA-0084,578,435,143,75.3
DOC-KL-0085,LG-KL-0085,1674,1671,3,99.8
DOC-MP-0086,LG-MP-0086,512,445,67,87.1
DOC-MH-0087,LG-MH-0087,1082,865,217,80.0
DOC-MN-0088,LG-MN-0088,522,284,238,54.5
DOC-ML-0089,LG-ML-0089,1454,913,541,62.8
DOC-MZ-0090,LG-MZ-0090,351,247,104,70.6
DOC-NL-0091,LG-NL-0091,443,283,160,63.9
DOC-OD-0092,LG-OD-0092,2051,1973,78,96.2
DOC-PB-0093,LG-PB-0093,1021,632,389,62.0
DOC-RJ-0094,LG-RJ-0094,926,715,211,77.3
DOC-SK-0095,LG-SK-0095,379,337,42,89.0
DOC-TN-0096,LG-TN-0096,714,546,168,76.6
DOC-TS-0097,LG-TS-0097,1382,1199,183,86.8
