parcel_id,project_id,parcel_number,area_acres,ownership_type,verified_flag,dispute_flag
PCL-LG-TN-0042-01,LG-TN-0042,SY-230/1,266.67,Forest,1,0
PCL-LG-TN-0042-02,LG-TN-0042,SY-546/2,266.67,Community,0,1
PCL-LG-TN-0042-03,LG-TN-0042,SY-787/3,266.67,Private,0,1
PCL-LG-AP-0002-01,LG-AP-0002,SY-328/1,18.55,Forest,0,0
PCL-LG-AP-0002-02,LG-AP-0002,SY-582/2,18.55,Private,1,1
PCL-LG-AP-0002-03,LG-AP-0002,SY-690/3,18.55,Community,1,0
PCL-LG-AP-0002-04,LG-AP-0002,SY-672/4,18.55,Forest,1,1
PCL-LG-AP-0002-05,LG-AP-0002,SY-100/5,18.55,Government,1,0
PCL-LG-AP-0002-06,LG-AP-0002,SY-417/6,18.55,Government,0,0
PCL-LG-AR-0003-01,LG-AR-0003,SY-256/1,598.8,Private,1,0
PCL-LG-AR-0003-02,LG-AR-0003,SY-679/2,598.8,Community,1,1
PCL-LG-AR-0003-03,LG-AR-0003,SY-552/3,598.8,Forest,1,1
PCL-LG-AR-0003-04,LG-AR-0003,SY-792/4,598.8,Community,1,1
PCL-LG-AS-0004-01,LG-AS-0004,SY-363/1,104.43,Forest,1,0
PCL-LG-AS-0004-02,LG-AS-0004,SY-305/2,104.43,Forest,1,1
PCL-LG-AS-0004-03,LG-AS-0004,SY-392/3,104.43,Community,1,0
PCL-LG-AS-0004-04,LG-AS-0004,SY-897/4,104.43,Forest,1,0
PCL-LG-AS-0004-05,LG-AS-0004,SY-581/5,104.43,Private,0,0
PCL-LG-AS-0004-06,LG-AS-0004,SY-132/6,104.43,Private,1,1
PCL-LG-AS-0004-07,LG-AS-0004,SY-972/7,104.43,Private,1,1
PCL-LG-BR-0005-01,LG-BR-0005,SY-853/1,176.5,Community,1,0
PCL-LG-BR-0005-02,LG-BR-0005,SY-787/2,176.5,Community,1,1
PCL-LG-BR-0005-03,LG-BR-0005,SY-860/3,176.5,Government,1,1
PCL-LG-BR-0005-04,LG-BR-0005,SY-499/4,176.5,Community,1,1
PCL-LG-CG-0006-01,LG-CG-0006,SY-946/1,198.4,Government,1,1
PCL-LG-CG-0006-02,LG-CG-0006,SY-309/2,198.4,Forest,0,0
PCL-LG-CG-0006-03,LG-CG-0006,SY-677/3,198.4,Government,1,0
PCL-LG-CG-0006-04,LG-CG-0006,SY-783/4,198.4,Community,1,0
PCL-LG-CG-0006-05,LG-CG-0006,SY-694/5,198.4,Private,1,1
PCL-LG-CG-0006-06,LG-CG-0006,SY-110/6,198.4,Forest,0,0
PCL-LG-CG-0006-07,LG-CG-0006,SY-837/7,198.4,Private,0,0
PCL-LG-CG-0006-08,LG-CG-0006,SY-979/8,198.4,Government,0,0
PCL-LG-GA-0007-01,LG-GA-0007,SY-873/1,436.56,Community,1,1
PCL-LG-GA-0007-02,LG-GA-0007,SY-580/2,436.56,Forest,1,1
PCL-LG-GA-0007-03,LG-GA-0007,SY-386/3,436.56,Private,0,0
PCL-LG-GA-0007-04,LG-GA-0007,SY-914/4,436.56,Private,1,1
PCL-LG-GA-0007-05,LG-GA-0007,SY-302/5,436.56,Community,1,0
PCL-LG-GJ-0008-01,LG-GJ-0008,SY-889/1,333.28,Forest,1,0
PCL-LG-GJ-0008-02,LG-GJ-0008,SY-392/2,333.28,Forest,0,0
PCL-LG-GJ-0008-03,LG-GJ-0008,SY-832/3,333.28,Forest,0,0
PCL-LG-GJ-0008-04,LG-GJ-0008,SY-688/4,333.28,Forest,1,0
PCL-LG-GJ-0008-05,LG-GJ-0008,SY-911/5,333.28,Government,1,1
PCL-LG-HR-0009-01,LG-HR-0009,SY-886/1,37.32,Private,1,0
PCL-LG-HR-0009-02,LG-HR-0009,SY-613/2,37.32,Private,1,0
PCL-LG-HR-0009-03,LG-HR-0009,SY-547/3,37.32,Forest,1,1
PCL-LG-HR-0009-04,LG-HR-0009,SY-295/4,37.32,Community,1,1
PCL-LG-HR-0009-05,LG-HR-0009,SY-560/5,37.32,Community,1,1
PCL-LG-HR-0009-06,LG-HR-0009,SY-641/6,37.32,Government,0,0
PCL-LG-HP-0010-01,LG-HP-0010,SY-934/1,49.62,Forest,1,0
PCL-LG-HP-0010-02,LG-HP-0010,SY-720/2,49.62,Community,1,1
PCL-LG-HP-0010-03,LG-HP-0010,SY-319/3,49.62,Private,0,0
PCL-LG-HP-0010-04,LG-HP-0010,SY-864/4,49.62,Forest,1,0
PCL-LG-JH-0011-01,LG-JH-0011,SY-146/1,244.62,Community,1,0
PCL-LG-JH-0011-02,LG-JH-0011,SY-921/2,244.62,Government,1,0
PCL-LG-JH-0011-03,LG-JH-0011,SY-405/3,244.62,Government,1,0
PCL-LG-JH-0011-04,LG-JH-0011,SY-641/4,244.62,Community,1,0
PCL-LG-KA-0012-01,LG-KA-0012,SY-291/1,114.57,Private,1,0
PCL-LG-KA-0012-02,LG-KA-0012,SY-132/2,114.57,Government,0,0
PCL-LG-KA-0012-03,LG-KA-0012,SY-105/3,114.57,Private,1,0
PCL-LG-KL-0013-01,LG-KL-0013,SY-529/1,74.9,Forest,0,0
PCL-LG-KL-0013-02,LG-KL-0013,SY-100/2,74.9,Forest,1,0
PCL-LG-KL-0013-03,LG-KL-0013,SY-588/3,74.9,Community,1,0
PCL-LG-KL-0013-04,LG-KL-0013,SY-382/4,74.9,Community,0,1
PCL-LG-KL-0013-05,LG-KL-0013,SY-696/5,74.9,Private,1,0
PCL-LG-MP-0014-01,LG-MP-0014,SY-290/1,221.73,Government,1,0
PCL-LG-MP-0014-02,LG-MP-0014,SY-145/2,221.73,Government,0,1
PCL-LG-MP-0014-03,LG-MP-0014,SY-420/3,221.73,Forest,0,1
PCL-LG-MH-0015-01,LG-MH-0015,SY-828/1,321.77,Private,1,0
PCL-LG-MH-0015-02,LG-MH-0015,SY-906/2,321.77,Forest,1,0
PCL-LG-MH-0015-03,LG-MH-0015,SY-633/3,321.77,Government,1,0
PCL-LG-MH-0015-04,LG-MH-0015,SY-481/4,321.77,Government,0,1
PCL-LG-MH-0015-05,LG-MH-0015,SY-832/5,321.77,Community,1,0
PCL-LG-MH-0015-06,LG-MH-0015,SY-934/6,321.77,Government,1,0
PCL-LG-MH-0015-07,LG-MH-0015,SY-867/7,321.77,Private,1,0
PCL-LG-MN-0016-01,LG-MN-0016,SY-446/1,85.0,Community,1,1
PCL-LG-MN-0016-02,LG-MN-0016,SY-111/2,85.0,Private,1,0
PCL-LG-MN-0016-03,LG-MN-0016,SY-288/3,85.0,Forest,1,0
PCL-LG-MN-0016-04,LG-MN-0016,SY-196/4,85.0,Private,1,1
PCL-LG-MN-0016-05,LG-MN-0016,SY-156/5,85.0,Community,1,1
PCL-LG-MN-0016-06,LG-MN-0016,SY-402/6,85.0,Private,1,0
PCL-LG-MN-0016-07,LG-MN-0016,SY-740/7,85.0,Forest,1,0
PCL-LG-ML-0017-01,LG-ML-0017,SY-223/1,63.12,Private,1,1
PCL-LG-ML-0017-02,LG-ML-0017,SY-521/2,63.12,Community,1,1
PCL-LG-ML-0017-03,LG-ML-0017,SY-543/3,63.12,Community,1,0
PCL-LG-ML-0017-04,LG-ML-0017,SY-107/4,63.12,Private,1,1
PCL-LG-ML-0017-05,LG-ML-0017,SY-251/5,63.12,Government,1,1
PCL-LG-MZ-0018-01,LG-MZ-0018,SY-900/1,106.14,Forest,1,0
PCL-LG-MZ-0018-02,LG-MZ-0018,SY-818/2,106.14,Private,0,0
PCL-LG-MZ-0018-03,LG-MZ-0018,SY-257/3,106.14,Government,1,0
PCL-LG-MZ-0018-04,LG-MZ-0018,SY-176/4,106.14,Government,1,1
PCL-LG-MZ-0018-05,LG-MZ-0018,SY-461/5,106.14,Government,1,0
PCL-LG-MZ-0018-06,LG-MZ-0018,SY-676/6,106.14,Forest,1,1
PCL-LG-MZ-0018-07,LG-MZ-0018,SY-153/7,106.14,Government,0,1
