dispute_id,project_id,total_cases,court_district_cases,court_high_cases,court_supreme_cases,pending_cases,resolved_cases,stay_orders_count
LGL-TN-0042,LG-TN-0042,18,10,6,2,14,4,3
LGL-AP-0002,LG-AP-0002,10,6,3,1,0,10,0
LGL-AR-0003,LG-AR-0003,2,1,0,1,0,2,0
LGL-AS-0004,LG-AS-0004,11,6,3,2,2,9,0
LGL-BR-0005,LG-BR-0005,20,12,6,2,13,7,1
LGL-CG-0006,LG-CG-0006,17,10,5,2,12,5,7
LGL-GA-0007,LG-GA-0007,18,10,5,3,14,4,1
LGL-GJ-0008,LG-GJ-0008,42,25,12,5,34,8,3
LGL-HR-0009,LG-HR-0009,8,4,2,2,6,2,0
LGL-HP-0010,LG-HP-0010,6,3,1,2,5,1,0
LGL-JH-0011,LG-JH-0011,14,8,4,2,6,8,1
LGL-KA-0012,LG-KA-0012,6,3,1,2,4,2,0
LGL-KL-0013,LG-KL-0013,9,5,2,2,7,2,0
LGL-MP-0014,LG-MP-0014,4,2,1,1,1,3,0
LGL-MH-0015,LG-MH-0015,25,15,7,3,19,6,8
LGL-MN-0016,LG-MN-0016,9,5,2,2,0,9,0
LGL-ML-0017,LG-ML-0017,2,1,0,1,0,2,0
LGL-MZ-0018,LG-MZ-0018,18,10,5,3,10,8,2
LGL-NL-0019,LG-NL-0019,9,5,2,2,2,7,0
LGL-OD-0020,LG-OD-0020,35,21,10,4,26,9,7
LGL-PB-0021,LG-PB-0021,7,4,2,1,0,7,0
LGL-RJ-0022,LG-RJ-0022,17,10,5,2,9,8,2
LGL-SK-0023,LG-SK-0023,6,3,1,2,5,1,1
LGL-TN-0024,LG-TN-0024,13,7,3,3,3,10,1
LGL-TS-0025,LG-TS-0025,16,9,4,3,11,5,3
LGL-TR-0026,LG-TR-0026,7,4,2,1,5,2,0
LGL-UP-0027,LG-UP-0027,14,8,4,2,5,9,1
LGL-UK-0028,LG-UK-0028,16,9,4,3,6,10,3
LGL-WB-0029,LG-WB-0029,7,4,2,1,0,7,0
LGL-AN-0030,LG-AN-0030,9,5,2,2,1,8,0
LGL-CH-0031,LG-CH-0031,7,4,2,1,2,5,0
LGL-DH-0032,LG-DH-0032,16,9,4,3,8,8,2
LGL-DL-0033,LG-DL-0033,13,7,3,3,5,8,0
LGL-JK-0034,LG-JK-0034,5,3,1,1,0,5,0
LGL-LA-0035,LG-LA-0035,22,13,6,3,14,8,2
LGL-LD-0036,LG-LD-0036,40,24,12,4,32,8,3
LGL-PY-0037,LG-PY-0037,17,10,5,2,12,5,2
LGL-AP-0038,LG-AP-0038,13,7,3,3,5,8,0
LGL-AR-0039,LG-AR-0039,6,3,1,2,1,5,0
LGL-AS-0040,LG-AS-0040,10,6,3,1,7,3,0
LGL-BR-0041,LG-BR-0041,10,6,3,1,9,1,3
LGL-CG-0042,LG-CG-0042,28,16,8,4,26,2,7
LGL-GA-0043,LG-GA-0043,13,7,3,3,9,4,2
LGL-GJ-0044,LG-GJ-0044,4,2,1,1,1,3,0
LGL-HR-0045,LG-HR-0045,22,13,6,3,13,9,2
LGL-HP-0046,LG-HP-0046,16,9,4,3,7,9,1
LGL-JH-0047,LG-JH-0047,23,13,6,4,14,9,5
LGL-KA-0048,LG-KA-0048,19,11,5,3,14,5,2
LGL-KL-0049,LG-KL-0049,4,2,1,1,1,3,0
LGL-MP-0050,LG-MP-0050,11,6,3,2,6,5,1
LGL-MH-0051,LG-MH-0051,3,1,0,2,2,1,0
LGL-MN-0052,LG-MN-0052,11,6,3,2,8,3,1
LGL-ML-0053,LG-ML-0053,20,12,6,2,15,5,2
LGL-MZ-0054,LG-MZ-0054,8,4,2,2,7,1,0
LGL-NL-0055,LG-NL-0055,14,8,4,2,4,10,0
LGL-OD-0056,LG-OD-0056,18,10,5,3,14,4,1
LGL-PB-0057,LG-PB-0057,10,6,3,1,0,10,0
LGL-RJ-0058,LG-RJ-0058,8,4,2,2,3,5,0
LGL-SK-0059,LG-SK-0059,3,1,0,2,0,3,0
LGL-TN-0060,LG-TN-0060,29,17,8,4,21,8,3
LGL-TS-0061,LG-TS-0061,9,5,2,2,5,4,1
LGL-TR-0062,LG-TR-0062,4,2,1,1,0,4,0
LGL-UP-0063,LG-UP-0063,12,7,3,2,6,6,1
LGL-UK-0064,LG-UK-0064,40,24,12,4,32,8,5
LGL-WB-0065,LG-WB-0065,11,6,3,2,3,8,0
LGL-AN-0066,LG-AN-0066,7,4,2,1,4,3,0
LGL-CH-0067,LG-CH-0067,8,4,2,2,7,1,2
LGL-DH-0068,LG-DH-0068,41,24,12,5,31,10,6
LGL-DL-0069,LG-DL-0069,9,5,2,2,3,6,1
LGL-JK-0070,LG-JK-0070,13,7,3,3,5,8,1
LGL-LA-0071,LG-LA-0071,14,8,4,2,5,9,0
LGL-LD-0072,LG-LD-0072,24,14,7,3,14,10,1
LGL-PY-0073,LG-PY-0073,16,9,4,3,6,10,1
LGL-AP-0074,LG-AP-0074,9,5,2,2,3,6,1
LGL-AR-0075,LG-AR-0075,13,7,3,3,4,9,0
LGL-AS-0076,LG-AS-0076,28,16,8,4,18,10,3
