timeline_id,project_id,stage_name,planned_duration_days,actual_duration_days,stage_status,start_date,end_date
TL-LG-TN-0042-LAN,LG-TN-0042,Land Identification,37,84,DELAYED,2023-01-15,2024-06-30
TL-LG-TN-0042-SUR,LG-TN-0042,Survey,50,82,DELAYED,2023-01-15,2024-06-30
TL-LG-TN-0042-DOC,LG-TN-0042,Documentation,51,91,DELAYED,2023-01-15,2024-06-30
TL-LG-TN-0042-APP,LG-TN-0042,Approval,59,107,DELAYED,2023-01-15,2024-06-30
TL-LG-TN-0042-NOT,LG-TN-0042,Notification,85,112,IN_PROGRESS,2023-01-15,2024-06-30
TL-LG-TN-0042-OBJ,LG-TN-0042,Objection/Hearing,60,81,IN_PROGRESS,2023-01-15,2024-06-30
TL-LG-TN-0042-COM,LG-TN-0042,Compensation,53,57,IN_PROGRESS,2023-01-15,2024-06-30
TL-LG-TN-0042-LEG,LG-TN-0042,Legal Resolution,32,75,DELAYED,2023-01-15,2024-06-30
TL-LG-TN-0042-R&R,LG-TN-0042,R&R,59,87,IN_PROGRESS,2023-01-15,2024-06-30
TL-LG-TN-0042-POS,LG-TN-0042,Possession,85,113,IN_PROGRESS,2023-01-15,2024-06-30
TL-LG-TN-0042-FIN,LG-TN-0042,Final Handover,46,101,DELAYED,2023-01-15,2024-06-30
TL-LG-AP-0002-LAN,LG-AP-0002,Land Identification,66,61,COMPLETED,2024-01-22,2024-06-30
TL-LG-AP-0002-SUR,LG-AP-0002,Survey,80,132,DELAYED,2024-01-22,2024-06-30
TL-LG-AP-0002-DOC,LG-AP-0002,Documentation,90,95,IN_PROGRESS,2024-01-22,2024-06-30
TL-LG-AP-0002-APP,LG-AP-0002,Approval,74,115,DELAYED,2024-01-22,2024-06-30
TL-LG-AP-0002-NOT,LG-AP-0002,Notification,61,113,DELAYED,2024-01-22,2024-06-30
TL-LG-AP-0002-OBJ,LG-AP-0002,Objection/Hearing,63,118,DELAYED,2024-01-22,2024-06-30
TL-LG-AP-0002-COM,LG-AP-0002,Compensation,33,53,IN_PROGRESS,2024-01-22,2024-06-30
TL-LG-AP-0002-LEG,LG-AP-0002,Legal Resolution,31,42,IN_PROGRESS,2024-01-22,2024-06-30
TL-LG-AP-0002-R&R,LG-AP-0002,R&R,48,55,IN_PROGRESS,2024-01-22,2024-06-30
TL-LG-AP-0002-POS,LG-AP-0002,Possession,44,34,COMPLETED,2024-01-22,2024-06-30
TL-LG-AP-0002-FIN,LG-AP-0002,Final Handover,88,79,COMPLETED,2024-01-22,2024-06-30
TL-LG-AR-0003-LAN,LG-AR-0003,Land Identification,65,82,IN_PROGRESS,2024-05-21,2024-06-30
TL-LG-AR-0003-SUR,LG-AR-0003,Survey,44,72,IN_PROGRESS,2024-05-21,2024-06-30
TL-LG-AR-0003-DOC,LG-AR-0003,Documentation,37,95,DELAYED,2024-05-21,2024-06-30
TL-LG-AR-0003-APP,LG-AR-0003,Approval,60,65,IN_PROGRESS,2024-05-21,2024-06-30
TL-LG-AR-0003-NOT,LG-AR-0003,Notification,79,109,IN_PROGRESS,2024-05-21,2024-06-30
TL-LG-AR-0003-OBJ,LG-AR-0003,Objection/Hearing,75,105,IN_PROGRESS,2024-05-21,2024-06-30
TL-LG-AR-0003-COM,LG-AR-0003,Compensation,80,72,COMPLETED,2024-05-21,2024-06-30
TL-LG-AR-0003-LEG,LG-AR-0003,Legal Resolution,81,96,IN_PROGRESS,2024-05-21,2024-06-30
TL-LG-AR-0003-R&R,LG-AR-0003,R&R,69,83,IN_PROGRESS,2024-05-21,2024-06-30
TL-LG-AR-0003-POS,LG-AR-0003,Possession,33,52,IN_PROGRESS,2024-05-21,2024-06-30
TL-LG-AR-0003-FIN,LG-AR-0003,Final Handover,62,53,COMPLETED,2024-05-21,2024-06-30
TL-LG-AS-0004-LAN,LG-AS-0004,Land Identification,42,79,DELAYED,2024-10-04,2024-06-30
TL-LG-AS-0004-SUR,LG-AS-0004,Survey,47,63,IN_PROGRESS,2024-10-04,2024-06-30
TL-LG-AS-0004-DOC,LG-AS-0004,Documentation,36,57,IN_PROGRESS,2024-10-04,2024-06-30
TL-LG-AS-0004-APP,LG-AS-0004,Approval,58,76,IN_PROGRESS,2024-10-04,2024-06-30
TL-LG-AS-0004-NOT,LG-AS-0004,Notification,36,45,IN_PROGRESS,2024-10-04,2024-06-30
TL-LG-AS-0004-OBJ,LG-AS-0004,Objection/Hearing,89,126,DELAYED,2024-10-04,2024-06-30
TL-LG-AS-0004-COM,LG-AS-0004,Compensation,80,73,COMPLETED,2024-10-04,2024-06-30
TL-LG-AS-0004-LEG,LG-AS-0004,Legal Resolution,80,104,IN_PROGRESS,2024-10-04,2024-06-30
TL-LG-AS-0004-R&R,LG-AS-0004,R&R,65,120,DELAYED,2024-10-04,2024-06-30
TL-LG-AS-0004-POS,LG-AS-0004,Possession,70,129,DELAYED,2024-10-04,2024-06-30
TL-LG-AS-0004-FIN,LG-AS-0004,Final Handover,36,95,DELAYED,2024-10-04,2024-06-30
TL-LG-BR-0005-LAN,LG-BR-0005,Land Identification,61,97,DELAYED,2022-03-12,2024-06-30
TL-LG-BR-0005-SUR,LG-BR-0005,Survey,66,115,DELAYED,2022-03-12,2024-06-30
TL-LG-BR-0005-DOC,LG-BR-0005,Documentation,44,51,IN_PROGRESS,2022-03-12,2024-06-30
TL-LG-BR-0005-APP,LG-BR-0005,Approval,74,86,IN_PROGRESS,2022-03-12,2024-06-30
TL-LG-BR-0005-NOT,LG-BR-0005,Notification,71,78,IN_PROGRESS,2022-03-12,2024-06-30
TL-LG-BR-0005-OBJ,LG-BR-0005,Objection/Hearing,85,136,DELAYED,2022-03-12,2024-06-30
TL-LG-BR-0005-COM,LG-BR-0005,Compensation,63,57,COMPLETED,2022-03-12,2024-06-30
TL-LG-BR-0005-LEG,LG-BR-0005,Legal Resolution,69,77,IN_PROGRESS,2022-03-12,2024-06-30
TL-LG-BR-0005-R&R,LG-BR-0005,R&R,88,144,DELAYED,2022-03-12,2024-06-30
TL-LG-BR-0005-POS,LG-BR-0005,Possession,45,104,DELAYED,2022-03-12,2024-06-30
TL-LG-BR-0005-FIN,LG-BR-0005,Final Handover,55,71,IN_PROGRESS,2022-03-12,2024-06-30
TL-LG-CG-0006-LAN,LG-CG-0006,Land Identification,85,87,IN_PROGRESS,2024-05-05,2024-06-30
TL-LG-CG-0006-SUR,LG-CG-0006,Survey,70,64,COMPLETED,2024-05-05,2024-06-30
TL-LG-CG-0006-DOC,LG-CG-0006,Documentation,56,68,IN_PROGRESS,2024-05-05,2024-06-30
TL-LG-CG-0006-APP,LG-CG-0006,Approval,31,56,IN_PROGRESS,2024-05-05,2024-06-30
TL-LG-CG-0006-NOT,LG-CG-0006,Notification,90,134,DELAYED,2024-05-05,2024-06-30
TL-LG-CG-0006-OBJ,LG-CG-0006,Objection/Hearing,83,131,DELAYED,2024-05-05,2024-06-30
