geo_id,project_id,latitude,longitude,boundary_geojson
GEO-TN-0042,LG-TN-0042,11.0368,76.9858,"{""type"":""Point"",""coordinates"":[76.9858,11.0368]}"
GEO-AP-0002,LG-AP-0002,16.629442,80.772075,"{""type"":""Point"",""coordinates"":[80.772075,16.629442]}"
GEO-AR-0003,LG-AR-0003,26.973938,93.539837,"{""type"":""Point"",""coordinates"":[93.539837,26.973938]}"
GEO-AS-0004,LG-AS-0004,26.011281,91.832741,"{""type"":""Point"",""coordinates"":[91.832741,26.011281]}"
GEO-BR-0005,LG-BR-0005,25.998173,85.228835,"{""type"":""Point"",""coordinates"":[85.228835,25.998173]}"
GEO-CG-0006,LG-CG-0006,21.318028,81.695504,"{""type"":""Point"",""coordinates"":[81.695504,21.318028]}"
GEO-GA-0007,LG-GA-0007,15.420164,73.946381,"{""type"":""Point"",""coordinates"":[73.946381,15.420164]}"
GEO-GJ-0008,LG-GJ-0008,21.02651,72.847276,"{""type"":""Point"",""coordinates"":[72.847276,21.02651]}"
GEO-HR-0009,LG-HR-0009,28.399007,77.386523,"{""type"":""Point"",""coordinates"":[77.386523,28.399007]}"
GEO-HP-0010,LG-HP-0010,31.703108,77.041395,"{""type"":""Point"",""coordinates"":[77.041395,31.703108]}"
GEO-JH-0011,LG-JH-0011,23.249847,85.338111,"{""type"":""Point"",""coordinates"":[85.338111,23.249847]}"
GEO-KA-0012,LG-KA-0012,12.444629,76.511378,"{""type"":""Point"",""coordinates"":[76.511378,12.444629]}"
GEO-KL-0013,LG-KL-0013,10.046884,76.210979,"{""type"":""Point"",""coordinates"":[76.210979,10.046884]}"
GEO-MP-0014,LG-MP-0014,23.160436,79.848949,"{""type"":""Point"",""coordinates"":[79.848949,23.160436]}"
GEO-MH-0015,LG-MH-0015,21.206183,79.052963,"{""type"":""Point"",""coordinates"":[79.052963,21.206183]}"
GEO-MN-0016,LG-MN-0016,24.745365,93.974177,"{""type"":""Point"",""coordinates"":[93.974177,24.745365]}"
GEO-ML-0017,LG-ML-0017,25.580626,90.143297,"{""type"":""Point"",""coordinates"":[90.143297,25.580626]}"
GEO-MZ-0018,LG-MZ-0018,22.972107,92.634207,"{""type"":""Point"",""coordinates"":[92.634207,22.972107]}"
GEO-NL-0019,LG-NL-0019,25.731387,94.226398,"{""type"":""Point"",""coordinates"":[94.226398,25.731387]}"
GEO-OD-0020,LG-OD-0020,20.404548,85.809521,"{""type"":""Point"",""coordinates"":[85.809521,20.404548]}"
GEO-PB-0021,LG-PB-0021,31.733867,74.839143,"{""type"":""Point"",""coordinates"":[74.839143,31.733867]}"
GEO-RJ-0022,LG-RJ-0022,26.9613,75.662484,"{""type"":""Point"",""coordinates"":[75.662484,26.9613]}"
GEO-SK-0023,LG-SK-0023,27.203101,88.271563,"{""type"":""Point"",""coordinates"":[88.271563,27.203101]}"
