outcome_id,project_id,delay_flag,delay_days
OUT-TN-0042,LG-TN-0042,1,320
OUT-AP-0002,LG-AP-0002,0,13
OUT-AR-0003,LG-AR-0003,0,11
OUT-AS-0004,LG-AS-0004,0,14
OUT-BR-0005,LG-BR-0005,1,229
OUT-CG-0006,LG-CG-0006,1,578
OUT-GA-0007,LG-GA-0007,1,198
OUT-GJ-0008,LG-GJ-0008,1,474
OUT-HR-0009,LG-HR-0009,1,123
OUT-HP-0010,LG-HP-0010,0,20
OUT-JH-0011,LG-JH-0011,1,27
OUT-KA-0012,LG-KA-0012,1,78
OUT-KL-0013,LG-KL-0013,0,8
OUT-MP-0014,LG-MP-0014,0,0
OUT-MH-0015,LG-MH-0015,1,262
OUT-MN-0016,LG-MN-0016,0,12
OUT-ML-0017,LG-ML-0017,0,6
OUT-MZ-0018,LG-MZ-0018,1,202
OUT-NL-0019,LG-NL-0019,1,100
OUT-OD-0020,LG-OD-0020,1,563
OUT-PB-0021,LG-PB-0021,0,6
OUT-RJ-0022,LG-RJ-0022,1,223
OUT-SK-0023,LG-SK-0023,1,48
OUT-TN-0024,LG-TN-0024,1,111
OUT-TS-0025,LG-TS-0025,1,253
OUT-TR-0026,LG-TR-0026,0,16
OUT-UP-0027,LG-UP-0027,0,6
OUT-UK-0028,LG-UK-0028,1,146
OUT-WB-0029,LG-WB-0029,0,7
OUT-AN-0030,LG-AN-0030,0,9
OUT-CH-0031,LG-CH-0031,0,9
OUT-DH-0032,LG-DH-0032,1,245
OUT-DL-0033,LG-DL-0033,1,99
OUT-JK-0034,LG-JK-0034,0,15
OUT-LA-0035,LG-LA-0035,1,158
OUT-LD-0036,LG-LD-0036,1,301
OUT-PY-0037,LG-PY-0037,1,137
OUT-AP-0038,LG-AP-0038,1,94
OUT-AR-0039,LG-AR-0039,0,11
OUT-AS-0040,LG-AS-0040,1,24
OUT-BR-0041,LG-BR-0041,1,143
OUT-CG-0042,LG-CG-0042,1,405
OUT-GA-0043,LG-GA-0043,1,135
OUT-GJ-0044,LG-GJ-0044,0,8
OUT-HR-0045,LG-HR-0045,1,131
OUT-HP-0046,LG-HP-0046,0,3
OUT-JH-0047,LG-JH-0047,1,550
OUT-KA-0048,LG-KA-0048,1,126
OUT-KL-0049,LG-KL-0049,0,2
OUT-MP-0050,LG-MP-0050,1,174
OUT-MH-0051,LG-MH-0051,0,9
OUT-MN-0052,LG-MN-0052,1,209
OUT-ML-0053,LG-ML-0053,1,240
OUT-MZ-0054,LG-MZ-0054,1,84
OUT-NL-0055,LG-NL-0055,1,56
OUT-OD-0056,LG-OD-0056,1,199
OUT-PB-0057,LG-PB-0057,0,7
OUT-RJ-0058,LG-RJ-0058,0,16
OUT-SK-0059,LG-SK-0059,0,10
OUT-TN-0060,LG-TN-0060,1,282
OUT-TS-0061,LG-TS-0061,1,120
OUT-TR-0062,LG-TR-0062,0,15
OUT-UP-0063,LG-UP-0063,1,61
OUT-UK-0064,LG-UK-0064,1,323
OUT-WB-0065,LG-WB-0065,1,119
OUT-AN-0066,LG-AN-0066,0,3
OUT-CH-0067,LG-CH-0067,1,153
OUT-DH-0068,LG-DH-0068,1,337
OUT-DL-0069,LG-DL-0069,1,81
OUT-JK-0070,LG-JK-0070,1,44
OUT-LA-0071,LG-LA-0071,0,12
OUT-LD-0072,LG-LD-0072,1,252
OUT-PY-0073,LG-PY-0073,1,53
OUT-AP-0074,LG-AP-0074,0,16
OUT-AR-0075,LG-AR-0075,1,60
OUT-AS-0076,LG-AS-0076,1,320
OUT-BR-0077,LG-BR-0077,1,580
OUT-CG-0078,LG-CG-0078,0,15
OUT-GA-0079,LG-GA-0079,1,61
OUT-GJ-0080,LG-GJ-0080,0,7
OUT-HR-0081,LG-HR-0081,0,10
OUT-HP-0082,LG-HP-0082,1,137
OUT-JH-0083,LG-JH-0083,1,120
OUT-KA-0084,LG-KA-0084,1,182
OUT-KL-0085,LG-KL-0085,0,5
OUT-MP-0086,LG-MP-0086,1,46
OUT-MH-0087,LG-MH-0087,0,19
OUT-MN-0088,LG-MN-0088,1,401
OUT-ML-0089,LG-ML-0089,1,254
OUT-MZ-0090,LG-MZ-0090,1,124
OUT-NL-0091,LG-NL-0091,1,444
OUT-OD-0092,LG-OD-0092,0,10
OUT-PB-0093,LG-PB-0093,1,203
OUT-RJ-0094,LG-RJ-0094,1,117
OUT-SK-0095,LG-SK-0095,0,5
OUT-TN-0096,LG-TN-0096,1,62
OUT-TS-0097,LG-TS-0097,0,14
OUT-TR-0098,LG-TR-0098,0,13
OUT-UP-0099,LG-UP-0099,0,14
OUT-UK-0100,LG-UK-0100,0,10
OUT-WB-0101,LG-WB-0101,0,11
OUT-AN-0102,LG-AN-0102,1,250
