rr_id,project_id,families_eligible,families_rehabilitated,families_pending,site_readiness_percentage,grant_disbursed_cr
RR-TN-0042,LG-TN-0042,450,158,292,35.0,15.5
RR-AP-0002,LG-AP-0002,60,50,10,84.7,13.14
RR-AR-0003,LG-AR-0003,1444,1436,8,99.5,126.4
RR-AS-0004,LG-AS-0004,637,590,47,92.7,60.97
RR-BR-0005,LG-BR-0005,345,143,202,41.6,46.52
RR-CG-0006,LG-CG-0006,1607,508,1099,31.6,24.38
RR-GA-0007,LG-GA-0007,1241,620,621,50.0,133.31
RR-GJ-0008,LG-GJ-0008,1919,602,1317,31.4,58.18
RR-HR-0009,LG-HR-0009,194,144,50,74.5,27.05
RR-HP-0010,LG-HP-0010,189,146,43,77.5,8.42
RR-JH-0011,LG-JH-0011,1161,732,429,63.1,90.05
RR-KA-0012,LG-KA-0012,378,277,101,73.4,30.34
RR-KL-0013,LG-KL-0013,229,167,62,73.4,20.05
RR-MP-0014,LG-MP-0014,743,618,125,83.2,69.56
RR-MH-0015,LG-MH-0015,1101,163,938,14.9,18.05
RR-MN-0016,LG-MN-0016,615,610,5,99.3,48.0
RR-ML-0017,LG-ML-0017,218,205,13,94.2,24.48
RR-MZ-0018,LG-MZ-0018,787,383,404,48.7,27.25
RR-NL-0019,LG-NL-0019,1141,909,232,79.7,157.43
RR-OD-0020,LG-OD-0020,600,155,445,25.9,15.61
RR-PB-0021,LG-PB-0021,1481,1225,256,82.8,122.87
RR-RJ-0022,LG-RJ-0022,1399,566,833,40.5,45.71
RR-SK-0023,LG-SK-0023,1007,772,235,76.7,140.37
RR-TN-0024,LG-TN-0024,710,441,269,62.2,127.74
RR-TS-0025,LG-TS-0025,617,353,264,57.3,55.88
RR-TR-0026,LG-TR-0026,517,346,171,67.1,57.54
RR-UP-0027,LG-UP-0027,764,512,252,67.0,178.19
RR-UK-0028,LG-UK-0028,2573,1088,1485,42.3,92.04
RR-WB-0029,LG-WB-0029,1363,1122,241,82.4,212.49
RR-AN-0030,LG-AN-0030,1154,1082,72,93.8,287.28
RR-CH-0031,LG-CH-0031,166,163,3,98.4,24.73
RR-DH-0032,LG-DH-0032,319,153,166,48.0,15.45
RR-DL-0033,LG-DL-0033,870,636,234,73.2,63.2
RR-JK-0034,LG-JK-0034,104,92,12,89.2,14.63
RR-LA-0035,LG-LA-0035,433,240,193,55.5,16.77
RR-LD-0036,LG-LD-0036,740,183,557,24.9,16.55
RR-PY-0037,LG-PY-0037,1407,712,695,50.7,81.2
RR-AP-0038,LG-AP-0038,260,164,96,63.4,24.31
RR-AR-0039,LG-AR-0039,265,257,8,97.1,18.03
RR-AS-0040,LG-AS-0040,2325,1687,638,72.6,107.81
RR-BR-0041,LG-BR-0041,1107,587,520,53.1,116.3
RR-CG-0042,LG-CG-0042,160,30,130,19.1,9.58
RR-GA-0043,LG-GA-0043,1973,739,1234,37.5,102.42
RR-GJ-0044,LG-GJ-0044,1026,979,47,95.5,219.46
RR-HR-0045,LG-HR-0045,1020,555,465,54.5,68.68
RR-HP-0046,LG-HP-0046,1283,867,416,67.6,58.43
RR-JH-0047,LG-JH-0047,1068,137,931,12.9,17.63
RR-KA-0048,LG-KA-0048,2035,770,1265,37.9,108.28
RR-KL-0049,LG-KL-0049,1766,1533,233,86.8,112.02
RR-MP-0050,LG-MP-0050,704,315,389,44.9,31.65
RR-MH-0051,LG-MH-0051,1339,1186,153,88.6,56.19
RR-MN-0052,LG-MN-0052,442,211,231,47.8,50.31
RR-ML-0053,LG-ML-0053,2059,1165,894,56.6,156.47
RR-MZ-0054,LG-MZ-0054,532,367,165,69.0,113.1
RR-NL-0055,LG-NL-0055,455,344,111,75.8,55.05
RR-OD-0056,LG-OD-0056,1725,882,843,51.2,70.07
RR-PB-0057,LG-PB-0057,1820,1718,102,94.4,190.41
RR-RJ-0058,LG-RJ-0058,1096,848,248,77.5,75.4
RR-SK-0059,LG-SK-0059,1183,1035,148,87.5,180.71
RR-TN-0060,LG-TN-0060,1737,330,1407,19.0,20.49
RR-TS-0061,LG-TS-0061,458,278,180,60.9,27.47
RR-TR-0062,LG-TR-0062,1792,1546,246,86.3,123.23
