history_id,project_id,prediction_date,delay_probability,risk_score,risk_category,expected_delay_days,highest_risk_stage,model_version
HIS-TN-0042-1,LG-TN-0042,2024-01-15,0.84,84.0,CRITICAL,320,Legal Resolution,v1.0.0
HIS-AP-0002,LG-AP-0002,2024-02-01,0.11,11.0,LOW,13,Final Handover,v1.0.0
HIS-AR-0003,LG-AR-0003,2024-02-01,0.19,19.0,LOW,11,Objection/Hearing,v1.0.0
HIS-AS-0004,LG-AS-0004,2024-02-01,0.14,14.0,LOW,14,Approval,v1.0.0
HIS-BR-0005,LG-BR-0005,2024-02-01,0.78,78.0,HIGH,229,Objection/Hearing,v1.0.0
HIS-CG-0006,LG-CG-0006,2024-02-01,0.87,87.0,CRITICAL,578,Compensation,v1.0.0
HIS-GA-0007,LG-GA-0007,2024-02-01,0.66,66.0,HIGH,198,Documentation,v1.0.0
HIS-GJ-0008,LG-GJ-0008,2024-02-01,0.96,96.0,CRITICAL,474,Possession,v1.0.0
HIS-HR-0009,LG-HR-0009,2024-02-01,0.43,43.0,MEDIUM,123,Objection/Hearing,v1.0.0
HIS-HP-0010,LG-HP-0010,2024-02-01,0.6,60.0,MEDIUM,20,Approval,v1.0.0
HIS-JH-0011,LG-JH-0011,2024-02-01,0.32,32.0,MEDIUM,27,Legal Resolution,v1.0.0
HIS-KA-0012,LG-KA-0012,2024-02-01,0.4,40.0,MEDIUM,78,Possession,v1.0.0
HIS-KL-0013,LG-KL-0013,2024-02-01,0.34,34.0,MEDIUM,8,Notification,v1.0.0
HIS-MP-0014,LG-MP-0014,2024-02-01,0.08,8.0,LOW,0,Notification,v1.0.0
HIS-MH-0015,LG-MH-0015,2024-02-01,0.84,84.0,CRITICAL,262,R&R,v1.0.0
HIS-MN-0016,LG-MN-0016,2024-02-01,0.22,22.0,LOW,12,Approval,v1.0.0
HIS-ML-0017,LG-ML-0017,2024-02-01,0.14,14.0,LOW,6,Possession,v1.0.0
HIS-MZ-0018,LG-MZ-0018,2024-02-01,0.7,70.0,HIGH,202,Final Handover,v1.0.0
HIS-NL-0019,LG-NL-0019,2024-02-01,0.48,48.0,MEDIUM,100,Approval,v1.0.0
HIS-OD-0020,LG-OD-0020,2024-02-01,0.95,95.0,CRITICAL,563,R&R,v1.0.0
HIS-PB-0021,LG-PB-0021,2024-02-01,0.07,7.0,LOW,6,Survey,v1.0.0
HIS-RJ-0022,LG-RJ-0022,2024-02-01,0.75,75.0,HIGH,223,Compensation,v1.0.0
HIS-SK-0023,LG-SK-0023,2024-02-01,0.5,50.0,MEDIUM,48,Legal Resolution,v1.0.0
HIS-TN-0024,LG-TN-0024,2024-02-01,0.37,37.0,MEDIUM,111,Documentation,v1.0.0
HIS-TS-0025,LG-TS-0025,2024-02-01,0.79,79.0,HIGH,253,Objection/Hearing,v1.0.0
HIS-TR-0026,LG-TR-0026,2024-02-01,0.58,58.0,MEDIUM,16,Final Handover,v1.0.0
HIS-UP-0027,LG-UP-0027,2024-02-01,0.4,40.0,MEDIUM,6,Notification,v1.0.0
HIS-UK-0028,LG-UK-0028,2024-02-01,0.78,78.0,HIGH,146,Notification,v1.0.0
HIS-WB-0029,LG-WB-0029,2024-02-01,0.24,24.0,LOW,7,Land Identification,v1.0.0
HIS-AN-0030,LG-AN-0030,2024-02-01,0.23,23.0,LOW,9,Documentation,v1.0.0
HIS-CH-0031,LG-CH-0031,2024-02-01,0.22,22.0,LOW,9,Documentation,v1.0.0
HIS-DH-0032,LG-DH-0032,2024-02-01,0.79,79.0,HIGH,245,Land Identification,v1.0.0
HIS-DL-0033,LG-DL-0033,2024-02-01,0.53,53.0,MEDIUM,99,Legal Resolution,v1.0.0
HIS-JK-0034,LG-JK-0034,2024-02-01,0.28,28.0,LOW,15,Notification,v1.0.0
HIS-LA-0035,LG-LA-0035,2024-02-01,0.69,69.0,HIGH,158,Survey,v1.0.0
HIS-LD-0036,LG-LD-0036,2024-02-01,0.96,96.0,CRITICAL,301,Legal Resolution,v1.0.0
HIS-PY-0037,LG-PY-0037,2024-02-01,0.65,65.0,HIGH,137,Final Handover,v1.0.0
HIS-AP-0038,LG-AP-0038,2024-02-01,0.35,35.0,MEDIUM,94,Land Identification,v1.0.0
HIS-AR-0039,LG-AR-0039,2024-02-01,0.19,19.0,LOW,11,Compensation,v1.0.0
HIS-AS-0040,LG-AS-0040,2024-02-01,0.48,48.0,MEDIUM,24,Objection/Hearing,v1.0.0
HIS-BR-0041,LG-BR-0041,2024-02-01,0.76,76.0,HIGH,143,Notification,v1.0.0
HIS-CG-0042,LG-CG-0042,2024-02-01,0.98,98.0,CRITICAL,405,R&R,v1.0.0
HIS-GA-0043,LG-GA-0043,2024-02-01,0.69,69.0,HIGH,135,Notification,v1.0.0
HIS-GJ-0044,LG-GJ-0044,2024-02-01,0.26,26.0,LOW,8,Survey,v1.0.0
HIS-HR-0045,LG-HR-0045,2024-02-01,0.75,75.0,HIGH,131,Land Identification,v1.0.0
HIS-HP-0046,LG-HP-0046,2024-02-01,0.56,56.0,MEDIUM,3,Survey,v1.0.0
HIS-JH-0047,LG-JH-0047,2024-02-01,0.97,97.0,CRITICAL,550,Documentation,v1.0.0
HIS-KA-0048,LG-KA-0048,2024-02-01,0.73,73.0,HIGH,126,Approval,v1.0.0
HIS-KL-0049,LG-KL-0049,2024-02-01,0.27,27.0,LOW,2,Final Handover,v1.0.0
HIS-MP-0050,LG-MP-0050,2024-02-01,0.76,76.0,HIGH,174,Notification,v1.0.0
HIS-MH-0051,LG-MH-0051,2024-02-01,0.08,8.0,LOW,9,Land Identification,v1.0.0
HIS-MN-0052,LG-MN-0052,2024-02-01,0.75,75.0,HIGH,209,Survey,v1.0.0
HIS-ML-0053,LG-ML-0053,2024-02-01,0.69,69.0,HIGH,240,Possession,v1.0.0
HIS-MZ-0054,LG-MZ-0054,2024-02-01,0.35,35.0,MEDIUM,84,Survey,v1.0.0
HIS-NL-0055,LG-NL-0055,2024-02-01,0.38,38.0,MEDIUM,56,Documentation,v1.0.0
HIS-OD-0056,LG-OD-0056,2024-02-01,0.64,64.0,HIGH,199,Objection/Hearing,v1.0.0
HIS-PB-0057,LG-PB-0057,2024-02-01,0.29,29.0,LOW,7,Documentation,v1.0.0
HIS-RJ-0058,LG-RJ-0058,2024-02-01,0.56,56.0,MEDIUM,16,Notification,v1.0.0
HIS-SK-0059,LG-SK-0059,2024-02-01,0.25,25.0,LOW,10,Land Identification,v1.0.0
HIS-TN-0060,LG-TN-0060,2024-02-01,0.83,83.0,CRITICAL,282,Documentation,v1.0.0
HIS-TS-0061,LG-TS-0061,2024-02-01,0.33,33.0,MEDIUM,120,R&R,v1.0.0
HIS-TR-0062,LG-TR-0062,2024-02-01,0.11,11.0,LOW,15,Legal Resolution,v1.0.0
HIS-UP-0063,LG-UP-0063,2024-02-01,0.34,34.0,MEDIUM,61,Objection/Hearing,v1.0.0
HIS-UK-0064,LG-UK-0064,2024-02-01,0.95,95.0,CRITICAL,323,Notification,v1.0.0
HIS-WB-0065,LG-WB-0065,2024-02-01,0.39,39.0,MEDIUM,119,Possession,v1.0.0
HIS-AN-0066,LG-AN-0066,2024-02-01,0.6,60.0,MEDIUM,3,Objection/Hearing,v1.0.0
HIS-CH-0067,LG-CH-0067,2024-02-01,0.69,69.0,HIGH,153,Compensation,v1.0.0
HIS-DH-0068,LG-DH-0068,2024-02-01,0.92,92.0,CRITICAL,337,Approval,v1.0.0
HIS-DL-0069,LG-DL-0069,2024-02-01,0.44,44.0,MEDIUM,81,Legal Resolution,v1.0.0
HIS-JK-0070,LG-JK-0070,2024-02-01,0.53,53.0,MEDIUM,44,Survey,v1.0.0
HIS-LA-0071,LG-LA-0071,2024-02-01,0.32,32.0,MEDIUM,12,Final Handover,v1.0.0
HIS-LD-0072,LG-LD-0072,2024-02-01,0.7,70.0,HIGH,252,R&R,v1.0.0
HIS-PY-0073,LG-PY-0073,2024-02-01,0.59,59.0,MEDIUM,53,Legal Resolution,v1.0.0
HIS-AP-0074,LG-AP-0074,2024-02-01,0.37,37.0,MEDIUM,16,Approval,v1.0.0
HIS-AR-0075,LG-AR-0075,2024-02-01,0.45,45.0,MEDIUM,60,Notification,v1.0.0
HIS-AS-0076,LG-AS-0076,2024-02-01,0.83,83.0,CRITICAL,320,Survey,v1.0.0
HIS-BR-0077,LG-BR-0077,2024-02-01,0.82,82.0,CRITICAL,580,Land Identification,v1.0.0
HIS-CG-0078,LG-CG-0078,2024-02-01,0.27,27.0,LOW,15,Notification,v1.0.0
HIS-GA-0079,LG-GA-0079,2024-02-01,0.58,58.0,MEDIUM,61,Approval,v1.0.0
HIS-GJ-0080,LG-GJ-0080,2024-02-01,0.59,59.0,MEDIUM,7,Notification,v1.0.0
HIS-HR-0081,LG-HR-0081,2024-02-01,0.56,56.0,MEDIUM,10,R&R,v1.0.0
HIS-HP-0082,LG-HP-0082,2024-02-01,0.8,80.0,HIGH,137,Final Handover,v1.0.0
HIS-JH-0083,LG-JH-0083,2024-02-01,0.75,75.0,HIGH,120,Compensation,v1.0.0
HIS-KA-0084,LG-KA-0084,2024-02-01,0.75,75.0,HIGH,182,Survey,v1.0.0
HIS-KL-0085,LG-KL-0085,2024-02-01,0.21,21.0,LOW,5,Final Handover,v1.0.0
HIS-MP-0086,LG-MP-0086,2024-02-01,0.41,41.0,MEDIUM,46,Approval,v1.0.0
HIS-MH-0087,LG-MH-0087,2024-02-01,0.51,51.0,MEDIUM,19,R&R,v1.0.0
HIS-MN-0088,LG-MN-0088,2024-02-01,0.84,84.0,CRITICAL,401,Legal Resolution,v1.0.0
HIS-ML-0089,LG-ML-0089,2024-02-01,0.62,62.0,HIGH,254,Legal Resolution,v1.0.0
HIS-MZ-0090,LG-MZ-0090,2024-02-01,0.71,71.0,HIGH,124,Possession,v1.0.0
HIS-NL-0091,LG-NL-0091,2024-02-01,0.87,87.0,CRITICAL,444,Possession,v1.0.0
HIS-OD-0092,LG-OD-0092,2024-02-01,0.05,5.0,LOW,10,Possession,v1.0.0
HIS-PB-0093,LG-PB-0093,2024-02-01,0.62,62.0,HIGH,203,Survey,v1.0.0
HIS-RJ-0094,LG-RJ-0094,2024-02-01,0.39,39.0,MEDIUM,117,Notification,v1.0.0
HIS-SK-0095,LG-SK-0095,2024-02-01,0.22,22.0,LOW,5,Compensation,v1.0.0
HIS-TN-0096,LG-TN-0096,2024-02-01,0.43,43.0,MEDIUM,62,Final Handover,v1.0.0
HIS-TS-0097,LG-TS-0097,2024-02-01,0.58,58.0,MEDIUM,14,Possession,v1.0.0
HIS-TR-0098,LG-TR-0098,2024-02-01,0.19,19.0,LOW,13,Compensation,v1.0.0
HIS-UP-0099,LG-UP-0099,2024-02-01,0.14,14.0,LOW,14,Objection/Hearing,v1.0.0
HIS-UK-0100,LG-UK-0100,2024-02-01,0.5,50.0,MEDIUM,10,Approval,v1.0.0
HIS-WB-0101,LG-WB-0101,2024-02-01,0.4,40.0,MEDIUM,11,Possession,v1.0.0
HIS-AN-0102,LG-AN-0102,2024-02-01,0.68,68.0,HIGH,250,Final Handover,v1.0.0
HIS-CH-0103,LG-CH-0103,2024-02-01,0.89,89.0,CRITICAL,477,Land Identification,v1.0.0
HIS-DH-0104,LG-DH-0104,2024-02-01,0.78,78.0,HIGH,196,Objection/Hearing,v1.0.0
HIS-DL-0105,LG-DL-0105,2024-02-01,0.39,39.0,MEDIUM,110,Possession,v1.0.0
HIS-JK-0106,LG-JK-0106,2024-02-01,0.53,53.0,MEDIUM,85,Approval,v1.0.0
HIS-LA-0107,LG-LA-0107,2024-02-01,0.96,96.0,CRITICAL,425,Compensation,v1.0.0
HIS-LD-0108,LG-LD-0108,2024-02-01,0.49,49.0,MEDIUM,12,Documentation,v1.0.0
HIS-PY-0109,LG-PY-0109,2024-02-01,0.08,8.0,LOW,9,Compensation,v1.0.0
HIS-AP-0110,LG-AP-0110,2024-02-01,0.66,66.0,HIGH,141,Approval,v1.0.0
HIS-AR-0111,LG-AR-0111,2024-02-01,0.51,51.0,MEDIUM,89,Approval,v1.0.0
HIS-AS-0112,LG-AS-0112,2024-02-01,0.48,48.0,MEDIUM,70,Compensation,v1.0.0
HIS-BR-0113,LG-BR-0113,2024-02-01,0.09,9.0,LOW,8,Documentation,v1.0.0
HIS-CG-0114,LG-CG-0114,2024-02-01,0.38,38.0,MEDIUM,0,Objection/Hearing,v1.0.0
HIS-GA-0115,LG-GA-0115,2024-02-01,0.39,39.0,MEDIUM,130,Survey,v1.0.0
HIS-GJ-0116,LG-GJ-0116,2024-02-01,0.61,61.0,HIGH,205,Approval,v1.0.0
HIS-HR-0117,LG-HR-0117,2024-02-01,0.69,69.0,HIGH,135,R&R,v1.0.0
HIS-HP-0118,LG-HP-0118,2024-02-01,0.13,13.0,LOW,14,Possession,v1.0.0
HIS-JH-0119,LG-JH-0119,2024-02-01,0.34,34.0,MEDIUM,14,Objection/Hearing,v1.0.0
HIS-KA-0120,LG-KA-0120,2024-02-01,0.82,82.0,CRITICAL,486,Survey,v1.0.0
HIS-KL-0121,LG-KL-0121,2024-02-01,0.6,60.0,MEDIUM,20,Land Identification,v1.0.0
