stakeholder_id,project_id,objections_received,objections_resolved,pending_objections,public_hearing_status,stakeholder_response_index
STK-TN-0042,LG-TN-0042,85,30,55,OBJECTED,38.0
STK-AP-0002,LG-AP-0002,102,93,9,HELD,92.0
STK-AR-0003,LG-AR-0003,103,90,13,HELD,87.6
STK-AS-0004,LG-AS-0004,112,101,11,HELD,90.7
STK-BR-0005,LG-BR-0005,22,10,12,PENDING,49.9
STK-CG-0006,LG-CG-0006,63,23,40,PENDING,37.0
STK-GA-0007,LG-GA-0007,98,53,45,HELD,54.8
STK-GJ-0008,LG-GJ-0008,33,9,24,PENDING,30.0
STK-HR-0009,LG-HR-0009,50,39,11,HELD,78.2
STK-HP-0010,LG-HP-0010,26,17,9,HELD,66.1
STK-JH-0011,LG-JH-0011,70,48,22,HELD,69.5
STK-KA-0012,LG-KA-0012,84,58,26,HELD,69.7
STK-KL-0013,LG-KL-0013,41,30,11,HELD,73.3
STK-MP-0014,LG-MP-0014,79,70,9,HELD,88.8
STK-MH-0015,LG-MH-0015,39,15,24,PENDING,40.0
STK-MN-0016,LG-MN-0016,19,16,3,HELD,85.6
STK-ML-0017,LG-ML-0017,89,71,18,HELD,80.0
STK-MZ-0018,LG-MZ-0018,106,47,59,PENDING,45.0
STK-NL-0019,LG-NL-0019,36,26,10,HELD,74.2
STK-OD-0020,LG-OD-0020,119,40,79,PENDING,34.0
STK-PB-0021,LG-PB-0021,58,49,9,HELD,84.6
STK-RJ-0022,LG-RJ-0022,55,29,26,HELD,53.7
STK-SK-0023,LG-SK-0023,30,21,9,HELD,72.1
STK-TN-0024,LG-TN-0024,94,61,33,HELD,65.4
STK-TS-0025,LG-TS-0025,60,32,28,HELD,54.2
STK-TR-0026,LG-TR-0026,57,39,18,HELD,68.9
STK-UP-0027,LG-UP-0027,32,22,10,HELD,71.8
STK-UK-0028,LG-UK-0028,66,42,24,HELD,63.9
STK-WB-0029,LG-WB-0029,43,40,3,HELD,95.3
STK-AN-0030,LG-AN-0030,38,33,5,HELD,89.4
STK-CH-0031,LG-CH-0031,15,13,2,HELD,88.8
STK-DH-0032,LG-DH-0032,47,25,22,HELD,53.8
STK-DL-0033,LG-DL-0033,39,28,11,HELD,73.1
STK-JK-0034,LG-JK-0034,111,91,20,HELD,82.3
STK-LA-0035,LG-LA-0035,75,37,38,HELD,50.7
STK-LD-0036,LG-LD-0036,6,1,5,PENDING,20.9
STK-PY-0037,LG-PY-0037,16,10,6,HELD,62.7
STK-AP-0038,LG-AP-0038,37,24,13,HELD,66.2
STK-AR-0039,LG-AR-0039,40,32,8,HELD,82.1
STK-AS-0040,LG-AS-0040,42,32,10,HELD,78.6
STK-BR-0041,LG-BR-0041,63,40,23,HELD,64.6
STK-CG-0042,LG-CG-0042,118,35,83,PENDING,30.2
STK-GA-0043,LG-GA-0043,16,9,7,HELD,58.7
STK-GJ-0044,LG-GJ-0044,107,102,5,HELD,95.8
STK-HR-0045,LG-HR-0045,87,48,39,HELD,55.3
STK-HP-0046,LG-HP-0046,62,45,17,HELD,74.0
STK-JH-0047,LG-JH-0047,20,7,13,PENDING,38.5
STK-KA-0048,LG-KA-0048,39,19,20,HELD,50.6
STK-KL-0049,LG-KL-0049,91,79,12,HELD,87.4
STK-MP-0050,LG-MP-0050,20,11,9,HELD,57.0
STK-MH-0051,LG-MH-0051,107,94,13,HELD,88.1
STK-MN-0052,LG-MN-0052,23,10,13,PENDING,47.3
STK-ML-0053,LG-ML-0053,12,6,6,HELD,57.5
STK-MZ-0054,LG-MZ-0054,108,83,25,HELD,77.1
STK-NL-0055,LG-NL-0055,15,11,4,HELD,74.7
STK-OD-0056,LG-OD-0056,29,15,14,HELD,53.5
STK-PB-0057,LG-PB-0057,34,27,7,HELD,80.9
STK-RJ-0058,LG-RJ-0058,25,16,9,HELD,65.8
STK-SK-0059,LG-SK-0059,111,89,22,HELD,80.6
STK-TN-0060,LG-TN-0060,96,20,76,PENDING,21.2
STK-TS-0061,LG-TS-0061,22,15,7,HELD,70.8
STK-TR-0062,LG-TR-0062,115,99,16,HELD,86.2
STK-UP-0063,LG-UP-0063,62,47,15,HELD,75.9
STK-UK-0064,LG-UK-0064,13,5,8,PENDING,40.0
STK-WB-0065,LG-WB-0065,93,63,30,HELD,67.8
STK-AN-0066,LG-AN-0066,68,53,15,HELD,78.9
STK-CH-0067,LG-CH-0067,24,13,11,HELD,55.3
STK-DH-0068,LG-DH-0068,77,27,50,PENDING,36.0
STK-DL-0069,LG-DL-0069,115,76,39,HELD,66.1
STK-JK-0070,LG-JK-0070,117,91,26,HELD,78.0
STK-LA-0071,LG-LA-0071,75,56,19,HELD,75.9
STK-LD-0072,LG-LD-0072,83,39,44,PENDING,47.7
STK-PY-0073,LG-PY-0073,79,59,20,HELD,75.9
STK-AP-0074,LG-AP-0074,45,33,12,HELD,74.2
STK-AR-0075,LG-AR-0075,20,15,5,HELD,79.7
STK-AS-0076,LG-AS-0076,11,2,9,PENDING,26.8
STK-BR-0077,LG-BR-0077,27,10,17,PENDING,38.9
STK-CG-0078,LG-CG-0078,29,28,1,HELD,99.8
STK-GA-0079,LG-GA-0079,35,26,9,HELD,75.0
STK-GJ-0080,LG-GJ-0080,100,74,26,HELD,74.6
STK-HR-0081,LG-HR-0081,96,75,21,HELD,78.5
STK-HP-0082,LG-HP-0082,57,30,27,HELD,53.5
STK-JH-0083,LG-JH-0083,97,54,43,HELD,55.7
STK-KA-0084,LG-KA-0084,74,34,40,PENDING,47.0
STK-KL-0085,LG-KL-0085,49,42,7,HELD,86.0
STK-MP-0086,LG-MP-0086,16,11,5,HELD,73.4
STK-MH-0087,LG-MH-0087,46,36,10,HELD,79.4
STK-MN-0088,LG-MN-0088,77,18,59,PENDING,23.6
STK-ML-0089,LG-ML-0089,5,3,2,HELD,62.8
STK-MZ-0090,LG-MZ-0090,17,10,7,HELD,59.4
STK-NL-0091,LG-NL-0091,94,34,60,PENDING,36.2
STK-OD-0092,LG-OD-0092,14,12,2,HELD,91.3
STK-PB-0093,LG-PB-0093,34,20,14,HELD,60.4
STK-RJ-0094,LG-RJ-0094,60,39,21,HELD,66.4
STK-SK-0095,LG-SK-0095,43,42,1,HELD,99.6
STK-TN-0096,LG-TN-0096,46,32,14,HELD,70.0
STK-TS-0097,LG-TS-0097,111,75,36,HELD,68.0
STK-TR-0098,LG-TR-0098,103,101,2,HELD,98.5
STK-UP-0099,LG-UP-0099,8,7,1,HELD,91.6
STK-UK-0100,LG-UK-0100,75,52,23,HELD,69.5
STK-WB-0101,LG-WB-0101,90,68,22,HELD,75.6
STK-AN-0102,LG-AN-0102,54,27,27,HELD,51.1
STK-CH-0103,LG-CH-0103,42,13,29,PENDING,32.4
STK-DH-0104,LG-DH-0104,49,23,26,PENDING,47.0
STK-DL-0105,LG-DL-0105,22,16,6,HELD,73.0
STK-JK-0106,LG-JK-0106,46,30,16,HELD,66.1
STK-LA-0107,LG-LA-0107,85,28,57,PENDING,33.7
STK-LD-0108,LG-LD-0108,95,67,28,HELD,70.6
STK-PY-0109,LG-PY-0109,72,59,13,HELD,82.1
STK-AP-0110,LG-AP-0110,113,57,56,HELD,51.3
STK-AR-0111,LG-AR-0111,80,63,17,HELD,79.0
STK-AS-0112,LG-AS-0112,98,77,21,HELD,78.8
STK-BR-0113,LG-BR-0113,103,93,10,HELD,90.5
STK-CG-0114,LG-CG-0114,24,18,6,HELD,75.1
STK-GA-0115,LG-GA-0115,75,59,16,HELD,79.7
STK-GJ-0116,LG-GJ-0116,31,16,15,HELD,51.9
STK-HR-0117,LG-HR-0117,38,18,20,PENDING,47.7
STK-HP-0118,LG-HP-0118,25,21,4,HELD,87.2
STK-JH-0119,LG-JH-0119,12,9,3,HELD,77.8
STK-KA-0120,LG-KA-0120,97,39,58,PENDING,40.7
STK-KL-0121,LG-KL-0121,105,72,33,HELD,69.2
STK-MP-0122,LG-MP-0122,50,23,27,PENDING,47.0
STK-MH-0123,LG-MH-0123,48,31,17,HELD,65.6
STK-MN-0124,LG-MN-0124,95,26,69,PENDING,27.5
STK-ML-0125,LG-ML-0125,68,67,1,HELD,99.9
STK-MZ-0126,LG-MZ-0126,68,55,13,HELD,82.2
STK-NL-0127,LG-NL-0127,8,2,6,PENDING,33.7
STK-OD-0128,LG-OD-0128,110,100,10,HELD,91.0
STK-PB-0129,LG-PB-0129,39,30,9,HELD,78.3
STK-RJ-0130,LG-RJ-0130,69,68,1,HELD,98.7
STK-SK-0131,LG-SK-0131,76,73,3,HELD,96.5
STK-TN-0132,LG-TN-0132,54,49,5,HELD,91.3
STK-TS-0133,LG-TS-0133,43,26,17,HELD,61.3
STK-TR-0134,LG-TR-0134,9,5,4,HELD,59.2
STK-UP-0135,LG-UP-0135,87,67,20,HELD,77.6
STK-UK-0136,LG-UK-0136,37,31,6,HELD,86.1
STK-WB-0137,LG-WB-0137,71,49,22,HELD,69.1
STK-AN-0138,LG-AN-0138,17,12,5,HELD,75.7
STK-CH-0139,LG-CH-0139,11,8,3,HELD,74.5
STK-DH-0140,LG-DH-0140,86,59,27,HELD,69.1
STK-DL-0141,LG-DL-0141,110,95,15,HELD,86.9
STK-JK-0142,LG-JK-0142,96,90,6,HELD,94.5
STK-LA-0143,LG-LA-0143,58,48,10,HELD,83.1
STK-LD-0144,LG-LD-0144,111,47,64,PENDING,42.8
STK-PY-0145,LG-PY-0145,89,83,6,HELD,93.5
STK-AP-0146,LG-AP-0146,80,33,47,PENDING,42.2
STK-AR-0147,LG-AR-0147,89,24,65,PENDING,27.9
STK-AS-0148,LG-AS-0148,35,24,11,HELD,69.8
STK-BR-0149,LG-BR-0149,76,55,21,HELD,73.4
STK-CG-0150,LG-CG-0150,63,47,16,HELD,75.8
STK-GA-0151,LG-GA-0151,18,8,10,PENDING,46.0
